priority,group,box_name,type,primary_audience,trigger,url_rules,primary_cta,primary_fields,suppression,status
1,Erie.Pro - Core,EP-03 Service - Fast Quote - v1,slide-in/bottom bar,Ready service visitors,"45s OR 60pct scroll OR second high-intent pageview","service pages; provider pages; directory pages",Get a fast quote,"first_name; phone; email; zip; service_needed; timeline; description","7d close; 30d submit",ready_to_build
2,Erie.Pro - Service Families,EP-02 Emergency - Callback Request - v1,click modal/slide-in,Urgent visitors,"CTA click OR 20s OR exit intent","contains /emergency OR emergency family slugs",Request urgent callback,"first_name; phone; zip; emergency_type; sms_consent","30d submit; CTA click override",ready_to_build
3,Erie.Pro - Research Nurture,EP-04 Pricing - Cost Confidence - v1,slide-in,Price comparison visitors,"50pct scroll OR 60s","contains /pricing OR /costs OR /compare",Check realistic local pricing,"service; zip; project_type; timeline; contact_after_opt_in","7d close; 30d submit",ready_to_build
4,Erie.Pro - Core,EP-01 Visitor - Service Finder - v1,slide-in/bottom bar,Unknown or broad intent visitors,"40s OR 50pct scroll OR second pageview","home; /services; /directory; /areas",Find the right Erie pro,"service_category; zip; timeline; contact_after_continue","7d close; 30d submit",ready_to_build
5,Erie.Pro - Service Families,EP-05 Project - Planner - v1,multi-step modal/slide-in,Planned project visitors,"CTA click OR 70pct scroll OR second pageview","remodeling; builders; solar; concrete; flooring; kitchen; bath; basement; siding; decks",Plan my project,"project_type; property_type; timeline; budget_range; zip; name; phone; email; description","7d close; 30d submit",ready_to_build
6,Erie.Pro - Service Families,EP-06 Appointment - Professional Services - v1,slide-in/click modal,Appointment-based visitors,"50s OR 60pct scroll OR CTA click","health; legal; finance; real estate; professional categories",Request an appointment,"service_type; preferred_window; zip; name; phone; email","7d close; 30d submit",ready_to_build
7,Erie.Pro - Research Nurture,EP-07 Research - Checklist Capture - v1,soft slide-in,Research-stage visitors,"70pct scroll OR 90s","guides; checklist; certifications; seasonal; tips; blog",Send me the checklist,"email; service_category; zip_optional","14d close; 45d submit",ready_to_build
8,Erie.Pro - Provider Acquisition,EP-08 Provider - Claim Territory - v1,slide-in/embed,Local providers,"35s OR 50pct scroll OR CTA click","/pros; /for-business; /for-business/claim; provider profiles",Claim my Erie profile,"business_name; owner_name; email; phone; service_category; service_area","14d close; 45d submit",ready_to_build
9,Erie.Pro - Core,EP-09 Exit - Quote Rescue - v1,exit intent,Abandoning high-intent visitors,exit intent only,"service; pricing; provider; compare pages",Before you go, want a quick match?,"service; zip; phone_or_email","14d close; 30d submit",ready_to_build
10,Erie.Pro - Core,EP-10 Returning - Resume Request - v1,slide-in,Returning high-intent visitors,20s on return visit,"service; pricing; provider; compare pages",Continue where I left off,"likely_service; zip; contact","30d submit",ready_to_build

